RK,Name,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
236,Donovan Peoples-Jones,CLE/DET,WR,15,13,25,155,11.9,0,29,2,10.3,0,0,35,7
237,Miles Sanders,CAR,RB,16,27,41,154,5.7,0,14,0,9.6,0,0,158,8
238,Jonathan Taylor,IND,RB,10,19,23,153,8.1,1,40,2,15.3,0,0,174,5
239,John Bates,WSH,TE,17,19,28,151,7.9,0,35,1,8.9,0,0,65,6
240,Jeremy Ruckert,NYJ,TE,15,16,22,151,9.4,0,23,1,10.1,0,0,51,6
241,Deonte Harty,BUF,WR,16,15,21,150,10.0,1,43,2,9.4,0,0,79,9
242,Drew Ogletree,IND,TE,12,9,21,147,16.3,2,33,4,12.3,0,0,30,8
243,Rico Dowdle,DAL,RB,16,17,22,144,8.5,2,32,1,9.0,0,0,170,6
244,Quez Watkins,PHI,WR,9,15,21,142,9.5,1,19,0,15.8,0,0,46,8
245,D'Ernest Johnson,JAX,RB,17,10,12,140,14.0,0,42,2,8.2,0,0,136,6
246,Terrace Marshall Jr.,CAR,WR,9,19,33,139,7.3,0,14,0,15.4,1,0,48,8
247,Jalen Reagor,NE,WR,11,7,23,138,19.7,0,39,3,12.5,0,0,18,5
248,Ray-Ray McCloud III,SF,WR,12,12,15,135,11.3,0,41,2,11.3,0,0,87,7
249,Khalil Herbert,CHI,RB,12,20,31,134,6.7,1,23,1,11.2,1,1,138,9
250,Jordan Akins,CLE,TE,17,15,23,132,8.8,0,28,1,7.8,0,0,58,6
251,Parker Washington,JAX,WR,9,16,21,132,8.3,2,19,0,14.7,1,1,34,5
252,Ameer Abdullah,LV,RB,17,19,24,131,6.9,0,18,0,7.7,0,0,88,4
253,KaVontae Turpin,DAL,WR,16,12,18,127,10.6,3,34,2,7.9,0,0,39,9
254,Robbie Chosen,MIA,WR,9,4,6,126,31.5,1,68,2,14.0,0,0,31,3
255,Stephen Sullivan,CAR,TE,11,12,24,125,10.4,0,20,1,11.4,0,0,8,5
256,Malik Heath,GB,WR,13,15,24,125,8.3,1,16,0,9.6,0,0,35,6
257,Mecole Hardman,KC/NYJ,WR,11,15,24,124,8.3,0,37,1,11.3,0,0,108,8
258,River Cracraft,MIA,WR,10,9,12,121,13.4,1,24,2,12.1,0,0,49,8
259,Cole Turner,WSH,TE,12,11,15,120,10.9,0,29,2,10.0,0,0,50,4
260,Latavius Murray,BUF,RB,16,17,22,119,7.0,0,22,2,7.4,1,0,92,7
261,Kyle Juszczyk,SF,FB,17,14,17,119,8.5,2,22,1,7.0,0,0,58,8
262,Alec Ingold,MIA,FB,17,13,16,119,9.2,0,23,1,7.0,0,0,91,5
263,Emari Demercado,ARI,RB,14,21,30,119,5.7,0,22,1,8.5,0,0,109,4
264,David Montgomery,DET,RB,14,16,24,117,7.3,0,19,0,8.4,0,0,149,7
265,Kendre Miller,NO,RB,8,10,11,117,11.7,0,33,2,14.6,0,0,128,5
266,Andrei Iosivas,CIN,WR,16,15,25,116,7.7,4,16,0,7.3,0,0,35,11
267,Irv Smith Jr.,CIN,TE,12,18,26,115,6.4,1,14,0,9.6,1,1,66,5
268,Richie James,KC,WR,9,10,14,114,11.4,0,45,1,12.7,0,0,61,5
269,Robert Tonyan,CHI,TE,17,11,17,112,10.2,0,24,1,6.6,0,0,57,6
270,MyCole Pruitt,ATL,TE,17,9,12,110,12.2,1,22,2,6.5,1,0,51,6
271,Parris Campbell,NYG,WR,12,20,27,104,5.2,0,17,0,8.7,0,0,65,2
272,Darrell Henderson Jr.,LAR,RB,4,10,14,103,10.3,0,32,1,25.8,0,0,134,3
273,Michael Carter,ARI/NYJ,RB,15,24,31,101,4.2,1,10,0,6.7,0,0,87,5
274,Dameon Pierce,HOU,RB,14,13,17,101,7.8,0,27,1,7.2,0,0,95,3
275,Zamir White,LV,RB,17,15,19,98,6.5,0,15,0,5.8,0,0,94,4
276,Lucas Krull,DEN,TE,7,8,14,95,11.9,1,35,1,13.6,0,0,50,5
277,Davis Allen,LAR,TE,15,10,11,95,9.5,1,21,1,6.3,0,0,74,7
278,Geoff Swaim,ARI,TE,14,10,11,94,9.4,0,26,1,6.7,0,0,30,4
279,David Moore,TB,WR,7,5,7,94,18.8,1,52,1,13.4,0,0,62,3
280,Josh Whyle,TEN,TE,11,9,15,94,10.4,1,24,1,8.5,0,0,40,8
281,Keaton Mitchell,BAL,RB,8,9,11,93,10.3,0,32,1,11.6,0,0,122,5
282,Brock Wright,DET,TE,14,13,14,91,7.0,1,25,1,6.5,0,0,49,2
283,Tyquan Thornton,NE,WR,9,13,23,91,7.0,0,15,0,10.1,0,0,50,3
284,Xavier Hutchinson,HOU,WR,16,8,19,90,11.3,0,34,1,5.6,0,0,20,3
285,Jalen Guyton,LAC,WR,8,10,21,89,8.9,1,18,0,11.1,0,0,32,6
286,Matt Breida,NYG,RB,17,17,21,88,5.2,0,22,2,5.2,1,0,89,2
287,Salvon Ahmed,MIA,RB,8,16,23,88,5.5,1,20,1,11.0,0,0,109,4
288,Charlie Kolar,BAL,TE,15,7,9,87,12.4,1,19,0,5.8,0,0,17,5
289,Trent Sherfield Sr.,BUF,WR,17,11,22,86,7.8,1,12,0,5.1,0,0,49,4
290,Jeff Wilson Jr.,MIA,RB,10,14,17,85,6.1,0,12,0,8.5,0,0,69,3
291,Kareem Hunt,CLE,RB,15,15,21,84,5.6,0,13,0,5.6,0,0,98,5
292,Tim Jones,JAX,WR,17,11,18,83,7.5,0,15,0,4.9,0,0,31,4
293,Lynn Bowden Jr.,NO,WR,15,11,16,83,7.5,0,17,0,5.5,0,0,57,2
294,Deven Thompkins,TB,WR,17,17,25,83,4.9,1,26,1,4.9,1,1,84,5
295,Isaiah McKenzie,IND,WR,13,11,14,82,7.5,0,30,1,6.3,0,0,72,4
296,Chase Edmonds,TB,RB,13,14,17,81,5.8,0,14,0,6.2,0,0,111,5
297,Harrison Bryant,CLE,TE,17,13,20,81,6.2,3,23,1,4.8,0,0,35,5
298,Dalvin Cook,NYJ,RB,15,15,20,78,5.2,0,15,0,5.2,0,0,106,3
299,Brycen Hopkins,LAR,TE,15,5,7,78,15.6,0,29,2,5.2,0,0,32,3
300,Samori Toure,GB,WR,11,8,18,78,9.8,0,35,1,7.1,0,0,18,4
301,D'Onta Foreman,CHI,RB,9,11,16,77,7.0,1,17,0,8.6,0,0,64,6
302,Chase Claypool,CHI/MIA,WR,12,8,21,77,9.6,1,20,1,6.4,0,0,25,4
303,Julio Jones,PHI,WR,11,11,19,74,6.7,3,22,1,6.7,0,0,28,4
304,Cam Akers,LAR/MIN,RB,7,11,12,70,6.4,0,30,1,10.0,0,0,78,2
305,Chris Conley,SF,WR,8,3,6,69,23.0,0,48,1,8.6,0,0,28,2
306,Ronnie Bell,SF,WR,17,6,13,68,11.3,3,20,1,4.0,0,0,10,5
307,Marquise Goodwin,CLE,WR,12,4,13,67,16.8,0,57,1,5.6,0,0,21,1
308,Ben Skowronek,LAR,WR,17,8,12,66,8.3,1,20,1,3.9,0,0,30,3
309,Derius Davis,LAC,WR,17,15,17,66,4.4,0,18,0,3.9,0,0,115,0
310,Josiah Deguara,GB,TE,15,8,8,65,8.1,0,19,0,4.3,0,0,39,3
311,Luke Schoonmaker,DAL,TE,17,8,15,65,8.1,2,18,0,3.8,0,0,27,5
312,Charlie Jones,CIN,WR,11,7,9,64,9.1,0,35,1,5.8,0,0,38,3
313,Jalen Brooks,DAL,WR,7,6,6,64,10.7,0,24,1,9.1,0,0,28,4
314,Jamaal Williams,NO,RB,13,18,20,62,3.4,0,12,0,4.8,0,0,87,1
315,Ty Johnson,BUF,RB,10,7,7,62,8.9,1,28,1,6.2,0,0,60,2
316,Equanimeous St. Brown,CHI,WR,7,5,6,62,12.4,0,21,1,8.9,0,0,7,3
317,Darnell Washington,PIT,TE,17,7,10,61,8.7,0,12,0,3.6,0,0,50,4
318,Laviska Shenault Jr.,CAR,WR,8,10,10,60,6.0,0,14,0,7.5,0,0,85,2
319,Rakim Jarrett,TB,WR,10,4,9,60,15.0,0,41,1,6.0,0,0,27,1
320,C.J. Uzomah,NYJ,TE,12,8,12,58,7.3,1,19,0,4.8,0,0,33,5
321,Payne Durham,TB,TE,13,5,7,58,11.6,0,25,1,4.5,0,0,12,3
322,Kevin Harris,NE,RB,4,3,3,58,19.3,0,48,1,14.5,0,0,59,2
323,Sterling Shepard,NYG,WR,15,10,22,57,5.7,1,13,0,3.8,0,0,33,4
324,Mitchell Wilcox,CIN,TE,17,9,12,56,6.2,0,12,0,3.3,0,0,48,2
325,Ian Thomas,CAR,TE,12,5,9,56,11.2,0,28,1,4.7,0,0,33,1
326,D.J. Montgomery,IND,WR,7,3,8,56,18.7,1,34,1,8.0,0,0,28,3
327,Jason Brownlee,NYJ,WR,7,5,8,56,11.2,1,24,1,8.0,0,0,20,2
328,Andrew Beck,HOU,FB,15,11,13,55,5.0,2,26,1,3.7,1,1,37,4
329,Justyn Ross,KC,WR,10,6,11,53,8.8,0,20,1,5.3,0,0,15,2
330,Patrick Ricard,BAL,FB,17,5,7,52,10.4,1,28,1,3.1,0,0,35,3
331,Boston Scott,PHI,RB,15,4,6,52,13.0,0,27,1,3.5,0,0,43,2
332,Ihmir Smith-Marsette,CAR,WR,17,8,10,51,6.4,0,18,0,3.0,0,0,48,5
333,Darrynton Evans,CHI/MIA,RB,7,7,12,49,7.0,0,17,0,7.0,0,0,69,2
334,Patrick Taylor Jr.,GB,RB,11,11,17,49,4.5,0,16,0,4.5,0,0,59,4
335,Julian Hill,MIA,TE,15,6,9,48,8.0,0,18,0,3.2,1,1,30,2
336,Gary Brightwell,NYG,RB,7,5,7,47,9.4,0,18,0,6.7,0,0,53,2
337,Pierre Strong Jr.,CLE,RB,17,5,8,47,9.4,0,41,1,2.8,0,0,73,1
338,Craig Reynolds,DET,RB,17,5,5,47,9.4,0,28,1,2.8,0,0,59,2
339,Melvin Gordon III,BAL,RB,4,3,3,46,15.3,0,23,1,11.5,0,0,28,3
340,Raheem Blackshear,CAR,RB,12,6,7,45,7.5,0,19,0,3.8,0,0,38,1
341,Mike Strachan,CAR,WR,4,1,3,45,45.0,0,45,1,11.3,0,0,8,1
342,Israel Abanikanda,NYJ,RB,6,7,11,43,6.1,0,13,0,7.2,0,0,46,2
343,Britain Covey,PHI,WR,16,4,6,42,10.5,0,22,1,2.6,0,0,26,2
344,Ty Montgomery II,NE,WR,13,5,12,40,8.0,0,17,0,3.1,0,0,27,3
345,Mike Boone,HOU,RB,9,7,9,40,5.7,0,12,0,4.4,0,0,33,2
346,Deuce Vaughn,DAL,RB,7,7,7,40,5.7,0,11,0,5.7,0,0,46,1
347,Jimmy Graham,NO,TE,13,6,7,39,6.5,4,12,0,3.0,0,0,3,6
348,Randall Cobb,NYJ,WR,11,5,17,39,7.8,1,15,0,3.5,0,0,23,3
349,DeAndre Carter,LV,WR,17,4,7,39,9.8,0,16,0,2.3,0,0,50,0
350,Grant Calcaterra,PHI,TE,15,4,4,39,9.8,0,12,0,2.6,0,0,32,3
351,Cordarrelle Patterson,ATL,RB,14,9,12,38,4.2,1,11,0,2.7,0,0,37,2
352,Jack Stoll,PHI,TE,17,5,8,38,7.6,0,14,0,2.2,0,0,25,2
353,Elijah Cooks,JAX,WR,9,3,4,38,12.7,0,23,1,4.2,0,0,8,2
354,Peyton Hendershot,DAL,TE,8,4,7,38,9.5,0,24,1,4.8,0,0,28,1
355,Keith Kirkwood,NO,WR,13,5,9,37,7.4,1,13,0,2.8,0,0,1,3
356,Tony Jones Jr.,ARI/NO,RB,7,7,10,37,5.3,0,11,0,5.3,0,0,44,1
357,Lawrence Cager,NYG,TE,11,4,5,36,9.0,1,10,0,3.3,0,0,27,2
358,Marvin Jones Jr.,DET,WR,6,5,10,35,7.0,0,16,0,5.8,1,1,9,2
359,Brenton Strange,JAX,TE,14,5,9,35,7.0,1,17,0,2.5,0,0,28,2
360,Isaiah Spiller,LAC,RB,9,6,6,34,5.7,0,10,0,3.8,0,0,39,1
361,Tyler Goodson,IND,RB,6,6,9,34,5.7,0,15,0,5.7,0,0,51,1
